di_id,name,change_percent,change_numeric,buy,sell,latest,high,low,volume,time,list
3548216,International Petroleum Corp.,-1.78,-0.52,28.8,28.84,28.76,29.88,28.36,505612,17:29,Mid Cap
3574594,Instalco,3.37,10.5,322.5,323,322.5,322.5,308,90844,17:29,Mid Cap
3589562,Munters Group AB,2.03,1.5,75.2,75.5,75.4,75.5,73.2,146096,17:32,Mid Cap
3594990,Medicover B,1.17,2.2,189.8,190,190,195,186.4,80668,17:29,Large Cap
3601734,Boozt,1.47,2.4,165,165.4,165.6,167.2,159.4,359702,17:29,Mid Cap
3610541,Essity A,-1.62,-4.5,274,275,274,278,274,22074,17:29,Large Cap
3610542,Essity B,-1.85,-5,265.8,266,265.2,270.6,265.2,1789862,17:29,Large Cap
3638961,Momentum Group B,-1.12,-1.6,140.8,142.4,141.2,144.8,140,6183,17:29,Mid Cap
3638979,BONESUPPORT,1.06,0.6,57.4,57.6,57.4,58,55.2,227204,17:29,Mid Cap
3640714,Trianon B,1.96,2.5,130,130.5,130,130,124,6775,17:06,Mid Cap
3828498,Xspray Pharma,2.23,2.5,114,114.5,114.5,114.5,112,6382,17:29,Mid Cap
3833283,Balco Group,2.51,2.1,85.2,85.7,85.7,86.7,83.3,24670,17:29,Mid Cap
3840183,Handicare Group,0.4,0.2,50,50.2,50.2,50.2,50,17763,17:24,Mid Cap
3841916,BioArctic B,0.54,0.5,93.65,93.95,94,94.25,92.5,39973,17:29,Mid Cap
3864577,Ferronordic,0,0,209,209.5,210,214,207,24538,17:29,Mid Cap
3915255,IRRAS,1.43,0.09,6.23,6.38,6.38,6.38,6.2,60555,17:29,Small Cap
3943467,Arjo,2.78,1.8,66.3,66.4,66.5,66.7,64.25,462432,17:29,Large Cap
3952091,Corem Property Group B,1.03,0.2,19.5,19.65,19.65,19.7,19.45,151846,17:29,Mid Cap
3952334,Atvexa B,2.76,2.5,90,91.5,93,93,90,10956,17:29,Small Cap
4105107,NP3 Fastigheter Pref,0.63,0.2,31.9,32,32,32,31.6,43735,17:24,Mid Cap
4128701,Green Landscaping Group,-3.7,-1.8,46.6,47,46.8,48.6,46.3,26896,17:29,Small Cap
4134284,BHG Group,6.98,9,137.6,138.2,138,138.2,128.4,902602,17:30,Large Cap
4259979,NCAB Group,-1.21,-4,321,328,326,339,318,5465,17:29,Mid Cap
4263659,Better Collective,0.51,1,194,195.5,196,198,192.5,60664,17:29,Mid Cap
4280630,Arion Bank SDB,1.91,0.15,7.93,7.99,7.99,8.08,7.8,130399,17:29,Large Cap
4284369,Epiroc A,0.28,0.5,177.5,177.65,177.2,178.9,175.05,971279,17:29,Large Cap
4284370,Epiroc B,1.03,1.7,166.65,166.85,167.2,167.35,164.2,323441,17:29,Large Cap
4289303,Projektengagemang Sweden B,-2.25,-0.5,21.6,21.7,21.7,21.8,21.6,3372,17:24,Small Cap
4301537,Veoneer,1.4,3.2,230.2,231,231.4,231.4,221.2,262455,17:29,Large Cap
4305996,Calliditas Therapeutics,2.15,2.6,123.4,124,123.4,124.4,119.8,107373,17:29,Mid Cap
